id,title,description,difficulty,xp,category,examples,tests,function_name,required_dungeon
10,Remove Duplicates,Remove duplicates from a list and return sorted output.,Easy,120,DataStructures,"[{""input"": [[3,1,2,1]], ""output"": [1,2,3]}]","[{""input"": [[3,1,2,1]], ""output"": [1,2,3]}]",solve,5
11,Stack Validity,Simulate push/pop operations and return final stack.,Medium,200,DataStructures,"[{""input"": [[1,2,3], [""pop"",""push:4""]], ""output"": [1,2,4]}]","[{""input"": [[1,2,3], [""pop"",""push:4""]], ""output"": [1,2,4]}]",solve,5
12,Queue Simulation,Simulate queue operations.,Medium,180,DataStructures,"[{""input"": [[1,2], [""enqueue:3"",""dequeue""]], ""output"": [2,3]}]","[{""input"": [[1,2], [""enqueue:3"",""dequeue""]], ""output"": [2,3]}]",solve,5

13,Create Rectangle Class,Return area of rectangle using a class.,Easy,150,OOPS,"[{""input"": [5,10], ""output"": 50}]","[{""input"": [5,10], ""output"": 50}]",solve,6
14,Student Average,Define Student class and return average of marks.,Medium,200,OOPS,"[{""input"": [[90,80,70]], ""output"": 80}]","[{""input"": [[90,80,70]], ""output"": 80}]",solve,6
15,Account Withdrawal,Simulate simple bank account withdrawal.,Medium,250,OOPS,"[{""input"": [1000,200], ""output"": 800}]","[{""input"": [1000,200], ""output"": 800}]",solve,6

16,Factorial,Compute factorial using recursion.,Easy,150,Recursion,"[{""input"": [5], ""output"": 120}]","[{""input"": [5], ""output"": 120}]",solve,7
17,Sum of Digits,Recursively sum digits of a number.,Easy,140,Recursion,"[{""input"": [1234], ""output"": 10}]","[{""input"": [1234], ""output"": 10}]",solve,7
18,Power Function,Return a^b using recursion.,Medium,250,Recursion,"[{""input"": [2,3], ""output"": 8}]","[{""input"": [2,3], ""output"": 8}]",solve,7

19,Bubble Sort,Sort an array using bubble sort.,Easy,200,Algorithms,"[{""input"": [[3,2,1]], ""output"": [1,2,3]}]","[{""input"": [[3,2,1]], ""output"": [1,2,3]}]",solve,8
20,Greedy Coin Change,Return minimum coins to make amount.,Medium,300,Algorithms,"[{""input"": [[1,2,5],11], ""output"": 3}]","[{""input"": [[1,2,5],11], ""output"": 3}]",solve,8
21,Merge Sort,Implement merge sort.,Hard,400,Algorithms,"[{""input"": [[5,3,8,1]], ""output"": [1,3,5,8]}]","[{""input"": [[5,3,8,1]], ""output"": [1,3,5,8]}]",solve,8

22,Tree Height,Return height of a binary tree.,Medium,350,AdvancedDS,"[{""input"": [[1,2,3,null,null,4]], ""output"": 3}]","[{""input"": [[1,2,3,null,null,4]], ""output"": 3}]",solve,9
23,Heapify Array,Convert array into a min-heap.,Medium,380,AdvancedDS,"[{""input"": [[5,3,8,1]], ""output"": [1,3,8,5]}]","[{""input"": [[5,3,8,1]], ""output"": [1,3,8,5]}]",solve,9
24,Graph DFS,Return DFS traversal.,Medium,400,AdvancedDS,"[{""input"": [[[1,2],[0,3],[0,3],[1,2]]], ""output"": [0,1,3,2]}]","[{""input"": [[[1,2],[0,3],[0,3],[1,2]]], ""output"": [0,1,3,2]}]",solve,9

25,Min Cost Climbing,Return minimum cost to climb stairs.,Medium,420,DP,"[{""input"": [[10,15,20]], ""output"": 15}]","[{""input"": [[10,15,20]], ""output"": 15}]",solve,10
26,Longest Increasing Subsequence,Return LIS length.,Hard,500,DP,"[{""input"": [[10,9,2,5,3,7,101,18]], ""output"": 4}]","[{""input"": [[10,9,2,5,3,7,101,18]], ""output"": 4}]",solve,10
27,Knapsack 0-1,Return max value for weight constraint.,Hard,550,DP,"[{""input"": [[1,2,3],[10,15,40],6], ""output"": 55}]","[{""input"": [[1,2,3],[10,15,40],6], ""output"": 55}]",solve,10

28,Anagram Groups,Group words that are anagrams.,Hard,600,FinalBoss,"[{""input"": [[\""eat\"",\""tea\"",\""tan\"",\""ate\"",\""nat\"",\""bat""]], ""output"": [[\""eat\"",\""tea\"",\""ate\""], [\""tan\"",\""nat\""], [\""bat\""]]}]","[{""input"": [[\""eat\"",\""tea\"",\""tan\"",\""ate\"",\""nat\"",\""bat""]], ""output"": [[\""eat\"",\""tea\"",\""ate\""], [\""tan\"",\""nat\""], [\""bat\""]]}]",solve,10
29,Matrix Rotation,Rotate matrix 90 degrees clockwise.,Hard,600,FinalBoss,"[{""input"": [[[1,2],[3,4]]], ""output"": [[3,1],[4,2]]}]","[{""input"": [[[1,2],[3,4]]], ""output"": [[3,1],[4,2]]}]",solve,10
30,Valid Sudoku,Check if sudoku board is valid.,Hard,650,FinalBoss,"[{""input"": [[1,2,3]], ""output"": true}]","[{""input"": [[1,2,3]], ""output"": true}]",solve,10
